"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Royal Bank Of Canada","RY","124902973440","89.49","Canada"
"2","Toronto Dominion Bank","TD","111422685184","61.23","Canada"
"3","Enbridge","ENB","73264373760","34.46","Canada"
"4","Canadian National Railway","CNI","73143869440","111.51","Canada"
"5","Canadian Pacific Railway","CP","71636320256","76.88","Canada"
"6","Canadian Natural Resources","CNQ","69115174912","63.25","Canada"
"7","Shopify","SHOP","68730822656","53.58","Canada"
"8","Bank of Montreal","BMO","61629362176","85.96","Canada"
"9","Thomson Reuters","TRI","57321299968","125.86","Canada"
"10","Scotiabank","BNS","56061853696","46.48","Canada"
"11","Alimentation Couche-Tard","ATD.TO","50302043590","52.07","Canada"
"12","lululemon athletica","LULU","48633499648","384.33","Canada"
"13","Suncor Energy","SU","44529803264","34.24","Canada"
"14","Constellation Software","CSU.TO","42591512223","2009.84","Canada"
"15","Cenovus Energy","CVE","38337380352","20.2","Canada"
"16","CIBC","CM","37120569344","40.16","Canada"
"17","TC Energy","TRP","36457656320","36.45","Canada"
"18","BCE","BCE","36016566272","39.44","Canada"
"19","Imperial Oil","IMO","35230707712","60.27","Canada"
"20","Manulife Financial","MFC","34325798912","18.82","Canada"
"21","Nutrien","NTR","30855124992","62.37","Canada"
"22","Restaurant Brands International","QSR","30494322688","67.28","Canada"
"23","Sun Life Financial","SLF","29147746304","49.67","Canada"
"24","Great-West Lifeco","GWO.TO","27813903606","29.87","Canada"
"25","Barrick Gold","GOLD","27319173120","15.55","Canada"
"26","Franco-Nevada","FNV","26536744960","138.1","Canada"
"27","Loblaw Companies","L.TO","26242069288","82.95","Canada"
"28","Intact Financial","IFC.TO","26229178569","147.09","Canada"
"29","Telus","TU","24439031808","16.88","Canada"
"30","Agnico Eagle Mines","AEM","24058662912","48.58","Canada"
"31","CGI","GIB","23611314176","100.32","Canada"
"32","National Bank of Canada","NA.TO","22816795727","67.46","Canada"
"33","Teck Resources","TECK","21327282176","41.02","Canada"
"34","Rogers Communication","RCI","21275133952","40.22","Canada"
"35","Fairfax Financial","FFH.TO","20848347580","842.35","Canada"
"36","Dollarama","DOL.TO","19688404137","69.65","Canada"
"37","Fortis","FTS","19510585344","40.08","Canada"
"38","Wheaton Precious Metals","WPM","19332231168","42.66","Canada"
"39","Power Corporation of Canada","POW.TO","17983265731","27.17","Canada"
"40","Cameco","CCJ","17981767680","41.49","Canada"
"41","WSP Global","WSP.TO","17702010801","142.04","Canada"
"42","Tourmaline Oil","TOU.TO","17176524637","50.55","Canada"
"43","Pembina Pipeline","PBA","16723080192","30.45","Canada"
"44","First Quantum Minerals","FM.TO","16461810970","23.75","Canada"
"45","Hydro One","H.TO","15835629326","26.43","Canada"
"46","Magna International","MGA","15573828608","54.41","Canada"
"47","George Weston","WN.TO","15322335406","111.11","Canada"
"48","Brookfield Asset Management","BAM","13333361664","34.03","Canada"
"49","GFL Environmental","GFL","12341253120","33.43","Canada"
"50","Metro","MRU.TO","12134830297","52.82","Canada"
"51","Power Financial","PWF-PS.TO","11777778762","12.81","Canada"
"52","Ritchie Bros. Auctioneers","RBA","11544728576","63.34","Canada"
"53","TFI International","TFII","11306271744","131.69","Canada"
"54","Ivanhoe Mines","IVN.TO","10576177602","8.68","Canada"
"55","Emera","EMA.TO","10094355185","36.98","Canada"
"56","OpenText","OTEX","9655886848","35.59","Canada"
"57","ARC Resources","ARX.TO","9524770431","15.65","Canada"
"58","Saputo","SAP.TO","8817502108","20.86","Canada"
"59","CAE","CAE","7508482560","23.57","Canada"
"60","CCL Industries","CCL-B.TO","7416755410","41.69","Canada"
"61","Stantec","STN","7322747392","65.96","Canada"
"62","Choice Properties REIT","CHP-UN.TO","6922213485","9.57","Canada"
"63","Empire Company","EMP-A.TO","6842781327","27.37","Canada"
"64","Toromont","TIH.TO","6769524835","82.37","Canada"
"65","Canadian Tire","CTC.TO","6741672975","216.6","Canada"
"66","FirstService","FSV","6684255744","149.75","Canada"
"67","iA Financial","IAG.TO","6569609612","64.02","Canada"
"68","IGM Financial","IGM.TO","6507814314","27.34","Canada"
"69","Descartes Systems","DSGX","6140747776","72.08","Canada"
"70","Bausch + Lomb","BLCO","6025042944","17.18","Canada"
"71","TMX Group","X.TO","6011593626","21.57","Canada"
"72","Kinross Gold","KGC","6003844096","4.89","Canada"
"73","Canadian Utilities","CU.TO","6002600577","22.21","Canada"
"74","West Fraser Timber","WFG","5925028864","70.88","Canada"
"75","Canadian Apartment Properties REIT","CAR-UN.TO","5815303727","34.4","Canada"
"76","Lundin Mining","LUN.TO","5778422833","7.47","Canada"
"77","Bombardier Recreational Products","DOOO","5706927616","74.35","Canada"
"78","Element Fleet Management","EFN.TO","5689988915","14.6","Canada"
"79","SNC-Lavalin Group","SNC.TO","5648327031","32.17","Canada"
"80","AltaGas","ALA.TO","5631521977","19.99","Canada"
"81","Topicus","TOI.V","5513036609","67.32","Canada"
"82","Keyera","KEY.TO","5485973752","23.94","Canada"
"83","Pan American Silver","PAAS","5475197440","15.01","Canada"
"84","MEG Energy","MEG.TO","5213084229","18.27","Canada"
"85","Parkland Corp","PKI.TO","5193440580","29.54","Canada"
"86","Whitecap Resources","WCP.TO","5162992167","8.52","Canada"
"87","Quebecor","QBR-B.TO","5069094693","21.96","Canada"
"88","Air Canada","AC.TO","5014738300","13.99","Canada"
